timestamp,cycle,lane,avg_density,green_time,latency_ms,messages_lost
1762502389.106757,0,north,23.99,10,0.23,0
1762502389.106757,0,south,22.59,10,0.23,0
1762502389.106757,0,east,24.88,10,0.23,0
1762502389.106757,0,west,23.81,10,0.23,0
1762502449.1074007,1,north,23.7,10,0.22,0
1762502449.1074007,1,south,26.75,10,0.22,0
1762502449.1074007,1,east,28.03,10,0.22,0
1762502449.1074007,1,west,25.99,10,0.22,0
1762502509.1090605,2,north,25.28,10,0.19,0
1762502509.1090605,2,south,22.48,10,0.19,0
1762502509.1090605,2,east,23.96,10,0.19,0
1762502509.1090605,2,west,25.82,10,0.19,0
1762502569.1113372,3,north,27.65,10,0.22,0
1762502569.1113372,3,south,24.46,10,0.22,0
1762502569.1113372,3,east,28.87,10,0.22,0
1762502569.1113372,3,west,23.2,10,0.22,0
1762502629.1127024,4,north,27.68,10,0.22,0
1762502629.1127024,4,south,25.5,10,0.22,0
1762502629.1127024,4,east,25.78,10,0.22,0
1762502629.1127024,4,west,24.62,10,0.22,0
